Player,Team,Age,Height (cm),Weight (kg),Stick
Oskar Lindblom,Philadelphia,25,186,87,left
Petteri Lindbohm,Florida,28,190,95,left
Esa Lindell,Dallas,27,191,97,left
Ryan Lindgren,NY Rangers,24,184,90,left
Elias Lindholm,Calgary,27,184,87,right
Hampus Lindholm,Boston,28,190,96,left
Gustav Lindström,Detroit,23,188,83,right
Blake Lizotte,Los Angeles,24,171,78,left
Ilja Ljubuškin,Toronto,28,187,91,right
Ryan Lomberg,Florida,27,175,85,left
Steven Lorentz,Carolina,26,193,93,left
Adam Lowry,Winnipeg,29,195,95,left
Milan Lucic,Calgary,33,191,105,left
Matt Luff,Nashville,24,188,89,right
Anton Lundell,Florida,20,185,86,left
Isac Lundeström,Anaheim,22,184,87,left
Eetu Luostarinen,Florida,23,190,85,left
Joona Luoto,Columbus,24,190,91,left
Kurtis MacDermid,Colorado,28,195,106,left
Mackenzie MacEachern,St. Louis,28,191,93,left
Zack MacEwen,Philadelphia,25,191,93,right
Nathan MacKinnon,Colorado,26,183,91,right
Josh Mahura,Anaheim,23,184,84,left
Cale Makar,Colorado,23,180,85,right
Jevgeni Malkin,Pittsburgh,35,192,89,left
Maksim Mamin,Florida,27,188,93,left
Andrew Mangiapane,Calgary,26,178,83,left
Josh Manson,Colorado,30,191,98,right
Anthony Mantha,Washington,27,195,106,left
Brad Marchand,Boston,33,175,83,left
Jonathan Marchessault,Vegas,31,175,78,right
Mason Marchment,Florida,26,193,95,left
John Marino,Pittsburgh,24,185,82,right
Jacob Markström,Calgary,32,197,93,left
Mitch Marner,Toronto,24,183,77,right
Patrick Maroon,Tampa Bay,34,191,108,left
Matt Martin,NY Islanders,32,191,99,left
Alec Martinez,Vegas,34,185,94,left
Jordan Martinook,Carolina,29,184,89,left
Mike Matheson,Pittsburgh,28,188,85,left
Auston Matthews,Toronto,24,191,93,left
Scott Mayfield,NY Islanders,29,195,101,right
Gerald Mayhew,Anaheim,29,175,75,right
Dysin Mayo,Arizona,25,183,84,right
Charlie McAvoy,Boston,24,184,94,right
Jack McBain,Arizona,22,193,99,left
Jake McCabe,Chicago,28,185,93,left
Jared McCann,Seattle,25,184,84,left
Michael McCarron,Nashville,27,196,108,right
Connor McDavid,Edmonton,25,185,88,left
Ryan McDonagh,Tampa Bay,32,185,97,left
Brock McGinn,Pittsburgh,28,183,85,left
Greg McKegg,NY Rangers,29,183,86,left
Marc McLaughlin,Boston,22,182,93,right
Michael McLeod,New Jersey,24,188,85,right
Ryan McLeod,Edmonton,22,188,94,left
Connor McMichael,Washington,21,182,83,left
Brayden McNabb,Vegas,31,193,96,left
Jaycob Megna,San Jose,29,199,100,left
Timo Meier,San Jose,25,184,95,left
Nicolas Meloche,San Jose,24,191,96,right
Dawson Mercer,New Jersey,20,183,82,right
Ryan Merkley,San Jose,21,183,84,right
Jon Merrill,Minnesota,30,191,93,left
Elvis Merzlikins,Columbus,28,191,82,left
Victor Mete,Ottawa,23,176,84,left
Ben Meyers,Colorado,23,180,88,left
Jacob Middleton,Minnesota,26,191,95,left
Ilja Mihejev,Toronto,27,189,88,left
Niko Mikkola,St. Louis,26,194,96,left
Sonny Milano,Anaheim,25,183,87,left
Colin Miller,Buffalo,29,185,89,right
J.T. Miller,Vancouver,29,187,99,left
K'Andre Miller,NY Rangers,22,194,98,left
Casey Mittelstadt,Buffalo,23,185,88,left
Sean Monahan,Calgary,27,188,91,left
Samuel Montembeault,Montreal,25,191,90,left
Brandon Montour,Florida,28,183,87,right
Trevor Moore,Los Angeles,27,178,83,left
Josh Morrissey,Winnipeg,27,183,88,left
Janis Moser,Arizona,21,185,78,left
Tyler Motte,NY Rangers,27,178,86,left
Petr Mrázek,Toronto,30,188,86,left
Connor Murphy,Chicago,29,193,96,right
Matt Murray,Ottawa,27,194,90,left
Ryan Murray,Colorado,28,185,93,left
Jake Muzzin,Toronto,33,190,103,left
Tyler Myers,Vancouver,32,203,104,right
Philippe Myers,Nashville,25,196,95,right
Olli Määttä,Los Angeles,27,187,92,left
Vladislav Namestnikov,Dallas,29,182,82,left
Riley Nash,Tampa Bay,32,185,86,right
Martin Nečas,Carolina,23,187,86,right
Alex Nedeljkovic,Detroit,26,182,92,left
Brock Nelson,NY Islanders,30,192,96,left
Patrik Nemeth,NY Rangers,30,192,103,left
Alex Newhook,Colorado,21,179,86,left
Nino Niederreiter,Carolina,29,187,98,left
Matt Nieto,San Jose,29,180,86,left
Valeri Nitšuškin,Colorado,27,193,95,left
Josh Norris,Ottawa,22,185,87,left
Tomáš Nosek,Boston,29,190,92,left
Ryan Nugent-Hopkins,Edmonton,29,183,83,left
Darnell Nurse,Edmonton,27,193,100,left
Markus Nutivaara,Florida,27,186,86,left
William Nylander,Toronto,26,181,92,right
Gustav Nyquist,Columbus,32,180,80,left
Liam O'Brien,Arizona,27,185,98,left
Logan O'Connor,Colorado,25,183,79,right
Ryan O'Reilly,St. Louis,31,184,98,left
Jordan Oesterle,Detroit,29,183,84,left
Jake Oettinger,Dallas,23,193,93,left
Kyle Okposo,Buffalo,34,184,98,right
Jamie Oleksiak,Seattle,29,201,115,left
Jussi Olkinuora,Detroit,31,188,91,left
Victor Olofsson,Buffalo,26,180,82,left
Dmitri Orlov,Washington,30,180,95,left
T.J. Oshie,Washington,35,180,86,right
Aleksandr Ovetškin,Washington,36,188,107,right
Max Pacioretty,Vegas,33,188,96,left
Jean-Gabriel Pageau,NY Islanders,29,178,83,right
Ondřej Palát,Tampa Bay,31,182,88,left
Kyle Palmieri,NY Islanders,31,179,85,right
Artemi Panarin,NY Rangers,30,180,77,right
Colton Parayko,St. Louis,28,197,104,right
Zach Parise,NY Islanders,37,180,88,left
David Pastrňák,Boston,25,182,88,right
Nolan Patrick,Vegas,23,189,90,right
Nick Paul,Tampa Bay,27,191,103,left
Joe Pavelski,Dallas,37,180,88,right
Tanner Pearson,Vancouver,29,185,92,left
Andrew Peeke,Columbus,24,191,88,right
Adam Pelech,NY Islanders,27,189,94,left
Cole Perfetti,Winnipeg,20,177,80,left
Mathieu Perreault,Montreal,34,178,85,left
David Perron,St. Louis,33,183,89,right
Corey Perry,Tampa Bay,36,191,93,right
Brett Pesce,Carolina,27,191,93,right
Cal Petersen,Los Angeles,27,185,83,right
Jacob Peterson,Dallas,22,185,77,left
Jeff Petry,Montreal,34,191,92,right
Marcus Pettersson,Pittsburgh,25,192,80,left
Elias Pettersson,Vancouver,23,188,80,left
Michael Pezzetta,Montreal,24,185,98,left
Alex Pietrangelo,Vegas,32,191,95,right
Shane Pinto,Ottawa,21,188,87,right
Neal Pionk,Winnipeg,26,182,85,right
Tyler Pitlick,Montreal,30,188,91,right
Rem Pitlick,Montreal,25,180,89,left
Vasili Podkolzin,Vancouver,20,185,87,left
Ryan Poehling,Montreal,23,189,87,left
Brayden Point,Tampa Bay,26,179,83,right
Tucker Poolman,Vancouver,28,190,92,right
Derrick Pouliot,Seattle,28,183,89,left
Owen Power,Buffalo,19,198,97,left
Carey Price,Montreal,34,191,97,left
